TEAM_CITY,latitude,longitude
Los Angeles,34.0536909,-118.242766
San Antonio,29.4246002,-98.4951405
Miami,25.7741728,-80.19362
Golden State,37.8546664,-122.2921365
Oklahoma City,35.4729886,-97.5170536
Cleveland,41.5051613,-81.6934446
Boston,42.3602534,-71.0582912
Indianapolis,39.7683331,-86.1583502
Memphis,35.1490215,-90.0516285
Atlanta,33.7489924,-84.3902644
Houston,29.7589382,-95.3676974
Chicago,41.8755616,-87.6244212
Toronto,43.6534817,-79.3839347
Portland,45.5202471,-122.6741949
Dallas,32.7762719,-96.7968559
Washington,38.8949924,-77.0365581
Philadelphia,39.9527237,-75.1635262
Salt Lake City,40.7596198,-111.8867975
Milwaukee,43.0349931,-87.922497
New York,40.7127281,-74.0060152
New Orleans,29.9499323,-90.0701156
Denver,39.7392364,-104.9848623
Orlando,28.5421109,-81.3790304
Charlotte,35.2272086,-80.8430827
Minneapolis,44.9772995,-93.2654692
Detroit,42.3315509,-83.0466403
Phoenix,33.4484367,-112.0741417
Sacramento,38.5810606,-121.493895
Brooklyn,40.6501038,-73.9495823
East Rutherford,40.833989,-74.0970865
