FRANCHISE NAME,START,END,YEARS,GP,WINS,LOSSES,WIN%,PO,"DIV.
TITLES","CONF.
TITLES","LEAGUE
TITLES"
Atlanta Hawks,1968,2020.0,53,"4,270","2,106","2,164",0.493,33,6,0,0
Boston Celtics,1946,9999.0,75,"5,866","3,461","2,404",0.59,57,31,9,17
Brooklyn Nets,2012,2020.0,9,715,322,393,0.45,5,0,0,0
New Jersey Nets,1977,2011.0,35,"2,822","1,186","1,636",0.42,16,4,2,0
Charlotte Hornets,1988,2020.0,21,"1,660",790,870,0.475,10,0,0,0
Charlotte Bobcats,2004,2013.0,10,804,293,511,0.364,2,0,0,0
Chicago Bulls,1966,9999.0,55,"4,431","2,256","2,175",0.509,35,9,6,6
Cleveland Cavaliers,1970,9999.0,51,"4,104","1,888","2,216",0.46,22,7,5,1
Dallas Mavericks,1980,9999.0,41,"3,294","1,655","1,639",0.502,22,4,2,1
Denver Nuggets,1976,9999.0,45,"3,620","1,794","1,826",0.495,26,9,0,0
Detroit Pistons,1957,2020.0,64,"5,131","2,460","2,671",0.479,34,9,5,3
Golden State Warriors,1971,2020.0,50,"4,023","1,936","2,087",0.48100000000000004,18,7,6,4
Houston Rockets,1971,2020.0,50,"4,029","2,166","1,863",0.537,33,8,4,2
Indiana Pacers,1976,9999.0,45,"3,620","1,822","1,797",0.503,27,6,1,0
LA Clippers,2015,2020.0,6,469,289,180,0.616,4,0,0,0
Los Angeles Clippers,1984,2014.0,31,"2,494",971,"1,523",0.389,8,2,0,0
Los Angeles Lakers,1960,2020.0,61,"4,916","2,967","1,949",0.603,50,30,19,12
Memphis Grizzlies,2001,2020.0,20,"1,602",761,841,0.475,10,0,0,0
Miami Heat,1988,9999.0,33,"2,636","1,376","1,260",0.522,21,14,6,3
Milwaukee Bucks,1968,9999.0,53,"4,276","2,229","2,047",0.521,32,16,2,1
Minnesota Timberwolves,1989,9999.0,32,"2,545","1,002","1,543",0.39299999999999996,9,1,0,0
New Orleans Pelicans,2013,2020.0,8,633,285,348,0.45,2,0,0,0
New Orleans Hornets,2002,2012.0,9,722,342,380,0.473,5,1,0,0
New York Knicks,1946,9999.0,75,"5,857","2,837","3,020",0.484,41,9,4,2
Oklahoma City Thunder,2008,2020.0,13,"1,028",603,425,0.586,10,5,1,0
Orlando Magic,1989,9999.0,32,"2,554","1,212","1,342",0.474,16,7,2,0
Philadelphia 76ers,1963,2020.0,58,"4,679","2,371","2,308",0.506,36,10,5,2
Phoenix Suns,1968,9999.0,53,"4,276","2,268","2,008",0.53,29,7,2,0
Portland Trail Blazers,1970,9999.0,51,"4,113","2,209","1,904",0.537,36,6,3,1
Sacramento Kings,1985,2020.0,36,"2,881","1,218","1,663",0.42200000000000004,10,2,0,0
San Antonio Spurs,1976,9999.0,45,"3,617","2,227","1,390",0.615,39,22,6,5
Toronto Raptors,1995,9999.0,26,"2,061",982,"1,079",0.47600000000000003,12,7,1,1
Utah Jazz,1979,2020.0,42,"3,373","1,897","1,476",0.562,29,11,2,0
Washington Wizards,1997,2020.0,24,"1,897",807,"1,090",0.425,8,1,0,0
